Metric,Value
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.109785
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,97.978264
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,31
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79995
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000512658
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000642944
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000144934
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000642944
design_powergrid__voltage__worst,0.0000642944
design_powergrid__voltage__worst__net:VPWR,1.79995
design_powergrid__drop__worst,0.0000642944
design_powergrid__drop__worst__net:VPWR,0.0000512658
design_powergrid__voltage__worst__net:VGND,0.0000642944
design_powergrid__drop__worst__net:VGND,0.0000642944
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00001450000000000000008500145032286354762618429958820343017578125
ir__drop__worst,0.00005130000000000000011379786002407854539342224597930908203125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
